,,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,Directional Indicators,Directional Indicators,Directional Indicators,Directional Indicators,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators
isWatchlisted,Symbol,Current Price,Previous Close,Stock Volume,52 Week High,52 Week Low,Earnings Date,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Options Impact,Call Gamma,Put Gamma,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5 day DPI,5d % DPI Volume
,INGR,112.99,112.62,174066,141.78,102.31,05-05 6:05 PM,115,120,60,120,110,2.9704834619468774,'-165535,'-57798,0.7197,0.7574,2026-05-16,2026-05-16,0,5,,0.4,0.3797,,2.864,'-1.9995,'-0.16266582,'-0.14001327,0.1326,0.3014,0.8712,0,0.5615,2.1425025563,73.5,6.7431,0.70694,6.35542
,INKM,32.56,34.36,17247,35.01,31.48,,32,25,26,25,25,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,0.16131687,0.15223336,0.1084,0.2194,0.2475,0.4009,0.7574,0.4758305876,96.8,80.5935,,
,INMB,1.48,1.39,75012,11.64,1.09,,1.5,1,1,2,5,0,'-312301,'-24664,0.0787,0.0331,2026-06-19,2026-06-19,323,0,0,,0.0915,0,12.6622,'-3.7599,'-0.67531765,'-0.69085094,0.6993,1.5947,0.258,0.0067,0.2287,0.1399124534,40.63,9.6865,0.39474,3.0820999999999996
,INMD,14.315,14.4,124757,16.74,12.72,05-06 7:00 PM,15,10,5,16,13,2.9828999404848977,'-1424124,'-1980413,0.5479,0.7917,2026-05-16,2026-05-16,41,82,0.1951,0.7073,0.8038,2,0.7191,'-0.8512,'-0.09324682,'-0.06686332,0.2063,0.4068,0.6086,0.1884,0.3621,0.3697481538,51.31,0.3557,0.57288,0.4487
,INMU,,24.17,86015,24.58,23.19,,23,19,20,19,19,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,0.43945111,0.44884862,0.02,0.2649,0.1867,0.2506,0.9294,0.404130089,13.96,16.1228,0.322275,26.290725
,INN,5.02,4.79,136308,6,3.85,05-01 4:30 AM,5,5,5,5,2.5,0,'-83021,'-3433,0.0157,0.0096,2026-09-19,2026-09-19,0,3,,0,0.4312,,24.1832,'-10.9326,'-1.0703011,'-1.17275362,0.3504,0.69,0.2364,0.2619,0.0588,0.2086157925,58.63,0.4102,0.5227999999999999,2.31478
,INNV,8.1,7.94,66951,10.69,2.84,05-06 4:05 AM,7.5,7.5,5,7.5,20,0,'-53966,'-7396,0.9368,0.7847,2026-05-16,2026-05-16,2,4,0,1,0.0938,2,7.2966,'-15.51,0.62947883,0.50036523,0.454,0.8214,0.162,0.054,0.9283,0.4116591555,34.57,4.2723,0.45985,0.4764
,INOD,41.86,42.28,366244,93.85,31.9,,40,50,18,50,40,39.5770051616204,'-1942514,'-1285480,0.1458,0.0158,2026-05-16,2027-01-16,1222,535,0.2889,0.4299,0.4788,0.4378,1.5111,'-1.9655,'-0.03822265,'-0.033544,0.9708,1.0285,0.5407,0.217,0.3279,2.744744051,34.150000000000006,0.4992,0.44718,0.49648000000000003
,INR,15.89,15.97,86627,19.9,11.13,,15,15,5,15,12.5,7.864425791775578,'-40010,'-26898,0.0881,0.0922,2026-09-19,2026-09-19,11,1,0.3636,1,0.7146,0.0909,1.4875,'-2.3708,'-0.14954146,'-0.033637,0.4291,0.5708,0.5259,0.4669,0.619,0.5753756233,36.88,7.071,0.4314,3.0353199999999996
,INSE,6.99,7.04,48838,9.95,6.1,05-07 7:00 PM,7.5,2.5,5,10,2.5,0,'-11987,'-4407,0.0167,0.0346,2026-10-17,2026-10-17,14,0,0.1429,,0.4525,0,2.72,'-2.0252,'-0.60841613,'-0.57129011,0.5504,0.9286,0.5572,0.2938,0.0669,0.4126329609,34.67,0.3565,,
,INSG,14.79,15.04,23650,18.11,6.27,05-08 4:05 AM,14,12,4,14,9,84.28241798636972,'-265046,'-42082,0.5224,0.4357,2026-05-16,2026-05-16,28,2,0.4286,0,0.5303,0.0714,6.2983,'-15.9093,0.17821681,0.12196986,0.5882,0.9158,0.5847,0.268,0.755,0.8693828189,52.52,5.8438,0.4691,9.1653
,INSM,136.02,135.11,1158860,212.75,63.81,05-07 7:00 PM,130,180,130,170,130,7.630465451618414,'-2188562,'-2579404,0.586,1.7517,2026-05-16,2027-01-16,781,3540,0.5327,0.9274,0.8482,4.5327,0.8485,'-1.138,0.1674277,0.17048711,0.4612,0.6282,0.5232,0.1969,1,5.3573251278,57.53,0.5159,0.7161600000000001,0.5141600000000001
,INSP,55.08,56.23,225573,163.35,48.3,05-05 4:00 AM,60,70,30,70,90,72.02477112914772,'-1567927,'-252004,0.9438,1.9195,2026-05-16,2026-05-16,33,13,1,1,0.2856,0.3939,6.2218,'-1.3312,'-0.03570743,'-0.04096702,0.5363,0.9886,0.9934,0.0377,0.2177,3.5087406426,69.63000000000001,4.7734,0.6775800000000001,2.95448
,INSW,80.655,79.56,146779,79.8,32.06,05-07 6:45 PM,80,80,25,80,70,35.34581092129559,'-2392501,'-517547,0.7593,1.0862,2026-05-16,2026-05-16,1383,478,0.4845,0.3912,0.5027,0.3456,4.6228,'-3.0441,'-0.01680384,'-0.01783841,0.3462,0.5718,0.6699,0.3656,0.6778,2.871451619,60.88,0.4197,0.61892,6.43104
,INTA,22.13,22.25,184703,59.1,19.24,,22.5,30,5,30,22.5,5.907625147512357,'-116390,'-65049,0.1872,0.0554,2026-07-18,2026-07-18,18,3,0,0.3333,0.4978,0.1667,1.7893,'-1.3991,'-0.03655265,'-0.02851535,0.6342,0.8662,0.9511,0.3209,0.668,1.2164962444,43.49,0.3515,0.4624,2.58508
,INTC,84.55,82.56,129772570,85.22,18.97,,80,50,35,80,81,5.152312891412197,'-169728286,'-72037170,0.2091,0.0325,2026-05-02,2026-06-19,755724,522156,0.2706,0.4298,0.9782,0.6909,2.3561,'-14.9584,0.00283147,0.03699051,0.9685,0.7164,0.8432,1,0.257,3.7332565802,45.019999999999996,0.4901,0.4201599999999999,0.53406
,INTF,37.76,40.64,125729,41.97,31.43,,40,40,31,40,30,,'-766,0,1,1,2026-05-16,2026-05-16,0,0,,,0,,,,0.26864767,0.15394484,0.2116,0.1559,0.171,0.261,0.7386,0.399910118,61.71,43.1762,0.64046,46.76574
,INTR,7.845,8,953206,10.36,6.28,,7.5,5,5,10,15,0,'-318569,'-45972,0.1079,0.0006,2026-07-18,2026-07-18,146,39,0,0.2051,0.0907,0.2671,6.9296,'-11.1605,'-0.31391846,'-0.27413496,0.4217,0.5231,0.3089,0.5663,0.2983,0.2641418923,42.370000000000005,7.0659,0.26764,4.02408
,INTT,17.7,18.47,360219,19.62,5.56,,17.5,20,5,20,2.5,83.01284936033184,'-809858,'-2979,0.6518,0.4233,2026-05-16,2026-05-16,2937,7,0.5342,0.1429,0.0506,0.0024,271.8557,'-501.1566,0.4013464,0.33460458,0.8095,0.9964,0.8067,0.36,0.9412,1.1616176229,15.39,23.7439,0.25578,15.880600000000001
,INTU,389.77,395.95,955824,813.7,342.11,,370,500,180,500,360,23.426732590783867,'-8638186,'-6549243,0.1395,0.5054,2026-05-16,2026-10-17,4137,3234,0.5108,0.2823,0.7582,0.7817,1.319,'-0.9465,'-0.00124577,'-0.09294235,0.5576,0.6036,0.8429,0.6614,0.2289,15.0852376444,61.06,0.4947,0.6348,0.49871999999999994
,INTW,176.4,167.41,523585,176.13,13.74,,160,84,14,84,130,,'-95726,'-32906,0.7177,0.7212,2026-05-16,2026-05-16,442,444,0.7149,0.7793,0.366,1.0045,2.9091,'-31.0966,'-1.01248465,,1.8339,0,0.9991,0.5016,0.2203,0,47.980000000000004,17.1943,0.5215799999999999,18.86776
,INVA,23.36,23.58,172773,25.15,16.52,,25,25,5,25,2.5,2.6762647194177696,'-208827,'-26244,0.3595,0.1165,2026-06-19,2026-06-19,4,0,0,,0.0949,0,7.9571,'-16.0942,0.45703125,0.28893443,0.2107,0.3416,0.1934,0.282,0.9668,0.5084218898,45.1,6.8659,0.46498,6.31046
,INVH,27.25,27.13,1498862,35.8,24.25,04-30 4:15 AM,27.5,27.5,25,27.5,25,9.640520621503905,'-2280885,'-1577620,0.3351,0.3328,2026-11-21,2026-11-21,94,12,0.2128,1,0.9364,0.1277,1.4458,'-1.763,'-0.02739726,'-0.01625173,0.2101,0.2892,0.5945,0.3358,0.8465,0.4952342359,57.120000000000005,0.4556,0.5562600000000001,0.46621999999999997
,INVX,28.05,27.92,61056,29.48,11.93,05-05 4:05 AM,30,25,5,30,17.5,3.1698705078093834,'-35890,'-10460,0.2974,0.0764,2026-06-19,2026-06-19,3,0,0.3333,,0.4382,0,3.4312,'-9.0081,'-0.22879684,'-0.16027369,0.2827,0.4823,0.3801,0.1178,0.2213,0.8499536704,78.51,6.7495,0.7619000000000001,3.034766666666666
,ION,65.26,63.46,1374,66.17,25.1,,65,65,36,65,48,,'-6819,'-1301,0,0,2026-06-19,2026-06-19,0,0,,,0.4884,,5.2414,'-11.1833,'-0.02761442,'-0.00485437,0.4401,0.3914,0.4421,0.5082,0.6955,1.5677740327,34.5,17.175,,
,IONL,22.46,21.53,476244,148.84,8.76,,20,15,2,35,20,,'-46549,'-17034,0.4987,0.2067,2026-05-16,2026-09-19,164,27,0.4207,0.5926,0.3327,0.1646,2.7327,'-4.4145,0.10757946,0.10539274,2.2221,2.1121,0.6813,0.3461,0.8495,2.8702589787,48.05,0.63,0.4425199999999999,0.61808
,IONQ,43.69,42.69,8745457,84.64,25.89,05-07 4:05 AM,45,35,40,50,30,12.592298490518315,'-24807265,'-19068627,0.1825,0.0357,2026-05-16,2027-01-16,45633,43659,0.227,0.648,1.002,0.9567,1.3009,'-2.2101,0.03452788,0.07530178,1.155,1.0438,0.5787,0.4121,0.6976,2.8125873888,47.85,0.4642,0.5770799999999999,0.45594
,IONS,72.235,73.26,671723,86.74,28.79,04-29 7:00 PM,75,80,75,80,75,6.934053743217171,'-3484325,'-2912406,0.1287,0.0987,2026-07-18,2027-01-16,72,123,0.1111,0.8618,0.6649,1.7083,1.1964,'-1.3204,0.14954338,0.06828781,0.2444,0.3002,0,0.0432,0.8988,1.3881620905,64.59,0.4493,0.7472199999999999,0.5027999999999999
,IONX,43.07,41.19,819187,311.86,16.81,,40,20,2,20,32,,'-103729,'-12636,0.4248,0.1004,2026-08-22,2026-08-22,70,39,0.4857,0.8462,0.0612,0.5571,8.209,'-34.4507,'-0.01249707,'-1.0306392,2.2148,2.0823,0.7483,0.5836,0.125,5.4137434198,47.19,0.6333,0.4394,0.59328
,IONZ,7.18,7.54,4673269,137.71,5.76,,8,8,2,8,4,,'-24608,'-9448,0.6523,4.5442,2026-05-16,2027-01-16,25,10,0.88,0.8,0.9089,0.4,2.6046,'-1.0717,'-0.10671547,'-0.0769157,2.882,2.0854,0.8541,0.2314,0.3838,0.9924834943,26,0.5345,0.37306,0.47085999999999995
,IOO,133.26,133.99,210799,134.01,93.18,,133,124,75,132,133,,'-725,'-920,0.01,0.0028,2026-07-18,2026-07-18,0,0,,,5.5,,0.788,'-1.9898,'-0.64366812,'-0.45689655,0.2058,0.1276,0.2061,0.2763,0.5181,1.0791595026,29.49,71.896,0.4620666666666666,69.81616666666667
,IOSP,74.9,77.14,41427,95.55,65.51,05-08 4:45 AM,80,75,40,75,80,,'-2266,'-5040,0.0346,0.2454,2026-06-19,2026-12-19,0,0,,,2,,0.4496,'-0.7242,'-0.47679875,'-0.37054886,0.2231,0.3735,0.433,0.236,0.0939,1.818581708,65.41,7.4242,,
,IOT,29.47,29.96,1239639,48.41,23.38,,30,35,29.5,35,29.5,24.284622961581142,'-5815798,'-4929103,0.0846,0.2594,2026-06-19,2026-07-18,811,1176,0.1406,0.1063,0.739,1.4501,1.1799,'-1.1693,'-0.0880112,'-0.09779661,0.6949,0.59,0.4352,1,0.1325,1.1157230323,43.55,0.4114,0.56318,0.4545
,IOVA,3.44,3.43,6569207,5.63,1.64,,3.5,3,1,5,2.5,1.3317888518152625,'-6165170,'-2683538,0.0408,0.0091,2027-01-16,2027-01-16,5967,373,0.0799,0.0214,0.306,0.0625,2.2974,'-4.8318,'-0.04992138,0.44286005,0.8084,0.9818,0.1265,0.0349,0.9467,0.2125591113,47.410000000000004,0.603,0.47759999999999997,0.6213399999999999
,IP,32.65,32.64,3444941,56.13,32.53,04-30 7:00 PM,32.5,37.5,32.5,37.5,32.5,13.131226238797725,'-4234326,'-4923009,0.1307,0.1331,2026-06-19,2026-06-19,6472,1518,0.046,0.3953,1.1706,0.2345,0.8601,'-0.4389,'-0.00288979,'-0.15105408,0.4089,0.5455,0.9723,0.2179,0.2249,1.1238477561,16.71,0.5458,0.35907999999999995,0.4691799999999999
,IPAC,80.48,79.2,46370,83.98,63.29,,75,70,69,70,75,,'-425,'-2500,0.7846,86.3088,2026-05-16,2026-08-22,0,0,,,3,,0.17,'-1.0093,0.17384732,0.03434817,0.2391,0.2562,0.5867,0.2104,0.7419,1.2807574323,74.35000000000001,24.8101,0.63145,9.513950000000001
,IPAR,91.29,91.2,180050,142.61,77.21,05-06 4:05 AM,85,100,50,100,85,4.0710568543223,'-17865,'-9870,0.7724,1.2225,2026-05-16,2026-05-16,2,0,0,,1.8172,0,1.81,'-1.9532,0.93532669,0.75705951,0.3047,0.4285,0.5826,0.1375,0.9918,2.4666540428,13.139999999999999,11.6034,0.32954999999999995,6.0249500000000005
,IPAY,46.75,47,7159,60.99,41.26,,45,42,35,48,45,,'-2342,'-39125,0.2648,0.1425,2026-09-19,2026-12-19,0,0,,,13.9167,,0.0599,'-0.1441,'-0.60020007,'-0.58959538,0.31,0.2768,0.2673,0.4204,0.0121,0.821157609,18.33,32.9908,,
,IPGP,115.08,124.52,533978,155.82,51.77,05-05 8:00 PM,130,145,45,145,105,1.548940508113584,'-132756,'-26074,0.5903,0.3321,2026-05-16,2026-07-18,520,17,0.7981,0.8824,0.2101,0.0327,5.0915,'-9.1869,0.16524702,0.13092493,0.5513,0.7806,1,0.0437,0.8689,6.1352213596,44.31,0.6002,0.6210199999999999,0.5277
,IPI,37.91,36.97,49255,50.34,22.55,05-07 4:30 AM,35,50,17,50,28,9.428560038567218,'-451538,'-147449,0.2498,0.0931,2026-06-19,2026-09-19,8,29,0.375,0.5517,0.3216,3.625,3.0623,'-3.3849,0.03284612,0.07188472,0.7363,0.6107,0.6168,0.2867,0.6586,1.4250823076,52.17,9.4794,0.47762000000000004,8.3086
,IPKW,52.75,57.34,22633,60.41,44.19,,53,45,46,45,45,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,'-0.32588774,'-0.26119403,0.1953,0.1742,0.283,0.2366,0.166,0.6304757937,31.94,41.0762,,
,IPO,49.1,49.56,9537,54.68,37.46,,50,38,33,60,35,,'-64491,'-243609,0.0785,0.143,2026-10-17,2026-07-18,13,297,1,0,8.1791,22.8462,0.2647,'-0.5554,0.56312098,0.40612125,0.3633,0.3398,0.561,0.3428,0.9478,1.0629608029,74.7,31.1667,,
,IPX,32.67,29.54,33048,61.45,19.43,,30,20,15,35,15,11.622812878183911,'-9422,'-2566,0.2819,0.0738,2026-10-17,2026-10-17,39,2,0.1026,0,0.3333,0.0513,3.6719,'-6.2089,'-0.12851533,'-0.07037571,0.8775,0.9023,0.8226,0.4108,0.75,1.6823797261,40.23,9.593,0.6912,0.3777
,IQDF,34.005,33.48,20259,34.21,25.11,,31,37,24,37,23,,'-145,0,0,0,2026-06-19,2026-06-19,0,0,,,0,,,,'-0.10786397,'-0.11273957,0.2058,0.1774,0.1393,0.5427,0.5309,0.3748880894,47.85,35.0502,,
,IQDG,36.055,42.1,16708,44.52,36.17,,39,31,32,31,31,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,0.04831752,0.04502476,0.2561,0.2221,0.299,0.5767,0.7191,0.5901918829,18.54,9.6023,0.0197,0.9711
,IQLT,49.69,48.99,640993,50,40.5,,52,44,38,52,53,,'-3449,'-861,0.289,0.1717,2026-06-19,2026-06-19,0,0,,,0.25,,4.0058,'-2.1867,0.19416873,0.13429888,0.2106,0.1519,0.1586,0.3636,0.8653,0.4697078205,78.86,12.5643,0.6955399999999999,13.012739999999999
,IQV,163.45,162.27,380341,247.05,134.65,05-05 7:00 PM,160,220,90,220,190,20.03753493364987,'-746853,'-1353633,0.7913,0.8773,2026-05-16,2028-01-22,487,47,0.6776,0.7447,0.8832,0.0965,0.5517,'-0.1561,'-0.09373399,'-0.07188957,0.4248,0.5578,1,0.3837,0.2561,5.7131986366,47.23,0.431,0.50426,0.44588
,IR,83.97,83.77,1053253,100.96,72.45,04-29 4:10 AM,85,85,45,95,75,6.045987199086773,'-1573056,'-743675,0.115,0.0885,2027-01-16,2027-01-16,20,42,0.35,0.4524,0.4129,2.1,2.1152,'-2.0898,'-0.24441805,'-0.1892822,0.4415,0.4068,0.7898,0.1985,0.0823,2.1509585306,37.019999999999996,0.4678,0.5527599999999999,0.4972
,IRD,5.115,5.22,236591,5.81,0.73,,5,2.5,5,7.5,10,0,'-723685,'-9846,0.8434,0.6065,2026-05-16,2026-05-16,198,0,0.7374,,0.01,0,73.5004,'-159.757,0.22328459,'-0.94536326,0.5748,1.3544,0.1364,0.0803,0.1343,0.4462518462,31.78,5.4644,0.38496,9.28702
,IRDM,37.53,38.95,1288616,44.36,15.65,,40,40,5,40,35,18.855227934508203,'-3949230,'-601790,0.7331,0.3817,2026-05-16,2026-07-18,2451,1003,0.4953,0.6211,0.1977,0.4092,6.5625,'-13.5722,0.06108898,0.06658722,0.8319,0.6713,0.6932,0.192,0.7054,1.6503903932,57.03,0.4117,0.57762,0.41891999999999996
,IRE,24.66,26.95,2313648,124.68,10.56,,25,5,2,35,21,,'-261708,'-121700,0.5972,0.2601,2026-05-16,2026-06-19,541,1203,0.586,0.8022,0.3527,2.2237,2.1504,'-6.6239,0.23419184,0.19893352,1.8921,2.3254,0.6227,0.633,0.8621,3.9556605441,35.809999999999995,0.4753,0.39421999999999996,0.47126
,IREG,18.08,20.02,86856,41.6,7.74,,20,20,2,47,16,,'-5223,'-2932,0.5649,0.0197,2026-05-16,2026-08-22,7,3,0.1429,1,0.55,0.4286,1.7814,'-1.9384,0.12597207,'-0.96048867,1.9675,2.2019,0.5094,0.3197,0.3158,2.7824299691,48.309999999999995,3.5522,0.523875,1.712225
,IREN,48.51,50.62,19982160,76.87,5.73,,50,50,46.5,55,46.5,30.11724932113615,'-79878699,'-40791988,0.2256,0.0618,2026-05-16,2027-01-16,144652,101976,0.48,0.6872,0.7336,0.705,1.9582,'-4.627,'-0.00757576,'-0.98851475,0.9426,1.1493,0.608,0.1519,0.012,3.6721306571,42.120000000000005,0.5027,0.39062,0.49946
,IREX,33.13,36.04,340421,155.28,14.06,,35,10,2,43,23,,'-64453,'-44024,0.541,0.182,2026-05-16,2026-06-19,119,90,0.4202,0.5333,0.8718,0.7563,1.464,'-5.1894,'-0.99242613,'-0.98084423,1.8799,2.3335,0.6125,0.4972,0.3218,5.3082964085,36.35,0.4784,0.41432,0.36832000000000004
,IREZ,12.99,11.59,1698931,39.67,10.56,,11,30,2,30,11,,'-72527,'-20519,0.8296,0.5736,2026-05-16,2026-05-16,17,149,0.2353,0.3691,0.2575,8.7647,3.5346,'-2.5425,0.11481873,0.09163581,1.8115,2.3768,0.9289,0.1746,0.8974,1.7387560437,23.75,3.8649,0.34815999999999997,43.076499999999996
,IRM,112.77,116.01,655463,121,77.77,04-30 6:45 PM,120,100,45,126,50,14.182544712703733,'-3285216,'-1355133,0.0722,0.0075,2026-06-19,2026-06-19,1828,1363,0.6833,0.9259,1.6767,0.7456,2.4243,'-3.1725,'-0.14182568,'-0.02778479,0.2807,0.3959,0.8034,0.3403,0.8755,2.8989685666,21.98,0.5253,0.40360000000000007,0.52608
,IRMD,89.09,88.77,26624,107.9,50,,85,74.5,49.5,119.5,85,17.32952267570341,'-21016,'-64723,0.4463,0.8255,2026-07-18,2026-10-17,5,2,1,0,1.3557,0.4,0.3247,'-0.5615,0.15728077,0.14160401,0.2914,0.4788,0.4871,0.1746,0.5789,2.6827669002,38.9,7.9073,,
,IRON,68.79,68.87,91408,99.5,40,,70,70,30,70,65,7.8062734011267985,'-730529,'-182147,0.3158,0.2325,2026-06-19,2026-06-19,0,59,,1,0.2592,,4.0107,'-4.8558,0.58732666,0.36165972,0.3436,0.5519,0.1593,0.0388,0.9069,2.3991259862,72.61,11.1555,0.72514,2.05994
,IRS,14.96,14.56,72340,19.14,10.87,,15,12.5,5,17.5,7.5,6.696408788418394,'-69626,'-14005,0.2953,0.0277,2026-10-17,2026-10-17,1,11,0,0.9091,0.1431,11,4.9715,'-7.7061,'-1.22394896,'-1.02128729,0.3447,0.5966,0.18,0.073,0.1203,0.5482860569,58.78,24.0332,0.6042000000000001,22.550900000000002
,IRT,15.835,15.79,852824,19.83,14.6,04-30 4:05 AM,15,22.5,5,22.5,17.5,9.138410803687558,'-46464,'-219940,0.3994,0.0885,2026-07-18,2026-10-17,32,3,0.9375,0.6667,3.7692,0.0938,0.2113,'-0.1332,0.13223372,0.00238663,0.2021,0.3352,0.3209,0.3119,0.6983,0.3340786467,55.910000000000004,6.5643,0.46717999999999993,4.82068
,IRTC,125.99,122.27,67426,212,103.16,05-01 4:05 AM,120,160,65,160,110,11.618258524245096,'-34026,'-97649,0.5219,0.3264,2026-05-16,2026-11-21,5,2,0.6,1,1.651,0.4,0.3485,'-0.2283,'-0.0718098,'-0.07875735,0.3842,0.5955,0.7852,0.319,0.4096,4.5958331755,58.13,7.4381,0.60404,4.37474
,IRWD,4.05,3.93,521618,5.78,0.53,,4,5,1,5,3,25.76743519856403,'-1143606,'-418525,0.7387,0.7052,2026-05-16,2026-05-16,244,108,0.6721,0.0556,0.461,0.4426,2.7325,'-3.1916,'-0.14019055,0.00625489,0.9314,1.0232,0.0821,0.0546,0.6271,0.2538140504,45.81,8.5069,0.4891,2.1038799999999998
,ISOU,11.88,11.64,29376,13.58,5.72,,12.5,12.5,5,12.5,7.5,0,'-31603,'-112,0.9553,0.7927,2026-05-16,2026-05-16,2,0,0.5,,0.0256,0,282.1696,'-128.5471,0.12933635,0.05263158,0.722,0.7543,0.2319,0.4977,0.963,0.5541912517,50.31,2.1843,,
,ISPY,46.46,46.51,67270,46.73,38.37,,47,47,36,47,44,,'-25442,'-16663,0.9033,0.5835,2026-05-16,2026-05-16,1,0,1,,2.3182,0,1.5269,'-2.2643,'-0.62164236,'-0.5011583,0.1574,0.1295,0.099,0.2901,0.1393,0.3801707379,54.42,168.175,0.6499,136.4515
,ISRA,65.59,64.94,2727,67.32,43.01,,62,63,40,63,59,,'-7854,'-104804,0.1882,0.1218,2026-09-19,2026-12-19,0,0,,,20.7143,,0.0749,'-0.1114,'-0.25138211,'-0.23851999,0.3192,0.3027,0.5181,0.4213,0.4174,1.2407585685,59.85,909,,
,ISRG,471.94,482.21,1083583,603.88,427.84,,500,530,430,500,430,47.363987036388316,'-9182111,'-7296038,0.1406,0.1594,2026-05-16,2028-01-22,3424,2437,0.4527,0.0669,0.833,0.7117,1.2585,'-1.367,'-0.08705429,'-0.0566635,0.3656,0.3159,0.3336,0.2547,0.38,9.6149806855,57.99999999999999,0.4735,0.54232,0.46516
,ISSC,20.78,19.9,205570,30.94,6.53,,20,25,5,25,17.5,9.986243917522675,'-297912,'-215695,0.5195,0.8873,2026-05-16,2026-07-18,415,144,0.9711,0.7569,0.5557,0.347,1.3812,'-1.4696,'-0.14079277,'-0.13713059,0.9697,0.9779,0.732,0.053,0.3651,1.2283159755,26.13,17.1323,0.34546,17.080000000000002
,ISTB,48.475,48.56,142833,49.05,48.06,,45,44,41,44,54,,'-761,'-58,0,0,2026-08-22,2026-08-22,0,0,,,0.1667,,13.1207,'-5.881,'-0.08118619,'-0.08090615,0.0251,0.1854,0.3519,0.4859,0.371,0.5682651013,19.77,8.9388,0.29874,14.549959999999999
,IT,148.725,150.55,382465,451.73,139.18,05-05 6:00 PM,160,190,80,175,140,13.239349550167441,'-643991,'-379153,0.1982,1.2274,2026-06-19,2026-09-19,70,7,0.2571,0.7143,0.4824,0.1,1.6985,'-1.0415,'-0.07281312,'-0.07786079,0.4692,0.7629,1,0.1156,0.3374,7.249548381,61.44,0.4715,0.72812,0.47269999999999995
,ITA,215.9,215.72,636012,250.65,149.65,,215,270,215,250,215,,'-1685289,'-4204584,0.4668,0.5619,2026-05-16,2027-01-16,1007,731,0.1241,0.0739,1.2946,0.7259,0.4008,'-0.424,0.08693942,0.07156979,0.3283,0.2529,0.6574,0.662,0.9595,3.4435137285,56.26,0.477,0.49485999999999997,1.3860200000000003
,ITB,99.325,99.48,390223,118,87.02,,100,95,45,120,100,,'-4002647,'-4063778,0.3066,0.2773,2026-05-16,2026-07-18,229,170,0.6288,0.8529,0.9721,0.7424,0.985,'-1.2363,0.03198552,0.03031222,0.3179,0.3299,0.5824,0.2745,0.9679,2.071479644,66.91,4.4192,0.6551600000000001,2.03308
,ITEQ,62.01,60.96,3188,64.05,48.07,,58,50,51,50,58,,0,'-403,0.0163,0.0078,2026-06-19,2026-09-19,0,0,,,,,0,0,'-0.02806736,'-0.02809991,0.3246,0.2242,0.1274,0.2426,0.6341,0.8626669191,4.05,28.7207,,
,ITGR,85.35,86.01,100726,127.56,62,04-30 8:00 PM,80,70,40,85,65,7.14645889852286,'-160154,'-79843,0.7047,0.7688,2026-05-16,2026-05-16,2,0,1,,0.911,0,2.0059,'-4.1177,'-0.06627574,'-0.08586814,0.2877,0.6871,0.8525,0.0528,0.4793,3.7301944707,78.34,7.7925,0.58045,4.173825
,ITM,46.785,47,111827,48.02,44.79,,47,48,43,48,46,,'-45576,'-26748,0.4387,0.325,2026-05-16,2026-09-19,0,0,,,0.5313,,1.7039,'-0.4804,'-0.79640719,'-0.67979003,0.0265,0.0381,0.0632,0.113,0.0041,0.1130278356,35.510000000000005,35.8305,0.308,28.888479999999998
,ITOT,156.585,156.33,421245,156.46,116.9,,149,100,90,155,150,,'-683119,'-348596,0.3427,0.3268,2026-07-18,2026-10-17,37,109,0.5946,0.3945,0.4258,2.9459,1.9596,'-6.5702,'-0.24795469,'-0.24920534,0.1792,0.1573,0.3898,0.214,0.476,1.5521497822,47.61,10.3297,0.5435000000000001,6.630000000000001
,ITRI,86,88.53,225809,142,83.51,04-28 8:30 PM,85,105,85,105,85,23.869614713251142,'-1019882,'-1331978,0.7332,0.6905,2026-05-16,2026-12-19,78,1130,0.4103,0.9823,1.1508,14.4872,0.7657,'-0.6216,'-0.06152097,'-0.07016358,0.461,0.7397,0.6208,0.0406,0.3105,4.1334116645,44.940000000000005,7.1139,0.5454,9.83674
